1989	21793539.858262353
1990	20949254.22517031
1991	20097529.009928107
1992	21680178.95566343
1993	22884613.456313774
1994	25997448.0032144
1995	28063145.137235772
1996	29066103.772413794
1997	32217857.807149883
1998	30718852.669692058
1999	28221083.57896409
2000	32050112.999051232
2001	33804480.2196423
2002	35183377.09327889
2003	42054285.33075495
2004	55795944.597832814
2005	67418799.9606638
2006	78861494.21481481
2007	94385698.65034527
2008	120406346.02648579
2009	95042628.70650032
2010	126516210.11840369
2011	159725895.05659142
2012	152789275.10383597
2013	154240217.80613947
2014	143327216.60955244
2015	121908757.37763642
2016	116890175.15700564
